Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,23/08/2024 20:30,Borussia-Park,Borussia Mönchengladbach,Bayer 04 Leverkusen,2 - 3
3,1,24/08/2024 15:30,Mewa Arena,1. FSV Mainz 05,1. FC Union Berlin,1 - 1
5,1,24/08/2024 15:30,WWK Arena,FC Augsburg,SV Werder Bremen,2 - 2
6,1,24/08/2024 15:30,Europa-Park Stadion,SC Freiburg,VfB Stuttgart,3 - 1
7,1,24/08/2024 15:30,PreZero Arena,TSG Hoffenheim,Holstein Kiel,3 - 2
9,1,24/08/2024 15:30,Red Bull Arena,RB Leipzig,VfL Bochum 1848,1 - 0
8,1,24/08/2024 18:30,Signal Iduna Park,Borussia Dortmund,Eintracht Frankfurt,2 - 0
4,1,25/08/2024 15:30,Volkswagen Arena,VfL Wolfsburg,FC Bayern München,2 - 3
2,1,25/08/2024 17:30,Millerntor-Stadion,FC St. Pauli,1. FC Heidenheim 1846,0 - 2
12,2,30/08/2024 20:30,An der Alten Försterei,1. FC Union Berlin,FC St. Pauli,1 - 0
10,2,31/08/2024 15:30,Holstein-Stadion,Holstein Kiel,VfL Wolfsburg,0 - 2
11,2,31/08/2024 15:30,Vonovia Ruhrstadion,VfL Bochum 1848,Borussia Mönchengladbach,0 - 2
13,2,31/08/2024 15:30,Weser-Stadion,SV Werder Bremen,Borussia Dortmund,0 - 0
15,2,31/08/2024 15:30,Deutsche Bank Park,Eintracht Frankfurt,TSG Hoffenheim,3 - 1
17,2,31/08/2024 15:30,MHPArena,VfB Stuttgart,1. FSV Mainz 05,3 - 3
18,2,31/08/2024 18:30,BayArena,Bayer 04 Leverkusen,RB Leipzig,2 - 3
14,2,01/09/2024 15:30,Voith-Arena,1. FC Heidenheim 1846,FC Augsburg,4 - 0
16,2,01/09/2024 17:30,Allianz Arena,FC Bayern München,SC Freiburg,2 - 0
26,3,13/09/2024 20:30,Signal Iduna Park,Borussia Dortmund,1. FC Heidenheim 1846,4 - 2
20,3,14/09/2024 15:30,Borussia-Park,Borussia Mönchengladbach,VfB Stuttgart,1 - 3
22,3,14/09/2024 15:30,Volkswagen Arena,VfL Wolfsburg,Eintracht Frankfurt,1 - 2
24,3,14/09/2024 15:30,Europa-Park Stadion,SC Freiburg,VfL Bochum 1848,2 - 1
25,3,14/09/2024 15:30,PreZero Arena,TSG Hoffenheim,Bayer 04 Leverkusen,1 - 4
27,3,14/09/2024 15:30,Red Bull Arena,RB Leipzig,1. FC Union Berlin,0 - 0
19,3,14/09/2024 18:30,Holstein-Stadion,Holstein Kiel,FC Bayern München,1 - 6
23,3,15/09/2024 15:30,WWK Arena,FC Augsburg,FC St. Pauli,3 - 1
21,3,15/09/2024 17:30,Mewa Arena,1. FSV Mainz 05,SV Werder Bremen,1 - 2
