Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,23/08/2024 20:30,Borussia-Park,Borussia Mönchengladbach,Bayer 04 Leverkusen,
3,1,24/08/2024 15:30,Mewa Arena,1. FSV Mainz 05,1. FC Union Berlin,
5,1,24/08/2024 15:30,WWK Arena,FC Augsburg,SV Werder Bremen,
6,1,24/08/2024 15:30,Europa-Park Stadion,SC Freiburg,VfB Stuttgart,
7,1,24/08/2024 15:30,PreZero Arena,TSG Hoffenheim,SV Darmstadt 98,
9,1,24/08/2024 15:30,Red Bull Arena,RB Leipzig,VfL Bochum 1848,
8,1,24/08/2024 18:30,Signal Iduna Park,Borussia Dortmund,Eintracht Frankfurt,
4,1,25/08/2024 15:30,Volkswagen Arena,VfL Wolfsburg,FC Bayern München,
2,1,25/08/2024 17:30,Millerntor-Stadion,1. FC Köln,1. FC Heidenheim 1846,
12,2,30/08/2024 20:30,An der Alten Försterei,1. FC Union Berlin,1. FC Köln,
10,2,31/08/2024 15:30,Holstein-Stadion,SV Darmstadt 98,VfL Wolfsburg,
11,2,31/08/2024 15:30,Vonovia Ruhrstadion,VfL Bochum 1848,Borussia Mönchengladbach,
13,2,31/08/2024 15:30,Weser-Stadion,SV Werder Bremen,Borussia Dortmund,
15,2,31/08/2024 15:30,Deutsche Bank Park,Eintracht Frankfurt,TSG Hoffenheim,
17,2,31/08/2024 15:30,MHPArena,VfB Stuttgart,1. FSV Mainz 05,
18,2,31/08/2024 18:30,BayArena,Bayer 04 Leverkusen,RB Leipzig,
14,2,01/09/2024 15:30,Voith-Arena,1. FC Heidenheim 1846,FC Augsburg,
16,2,01/09/2024 17:30,Allianz Arena,FC Bayern München,SC Freiburg,
26,3,13/09/2024 20:30,Signal Iduna Park,Borussia Dortmund,1. FC Heidenheim 1846,
20,3,14/09/2024 15:30,Borussia-Park,Borussia Mönchengladbach,VfB Stuttgart,
22,3,14/09/2024 15:30,Volkswagen Arena,VfL Wolfsburg,Eintracht Frankfurt,
24,3,14/09/2024 15:30,Europa-Park Stadion,SC Freiburg,VfL Bochum 1848,
25,3,14/09/2024 15:30,PreZero Arena,TSG Hoffenheim,Bayer 04 Leverkusen,
27,3,14/09/2024 15:30,Red Bull Arena,RB Leipzig,1. FC Union Berlin,
19,3,14/09/2024 18:30,Holstein-Stadion,SV Darmstadt 98,FC Bayern München,
23,3,15/09/2024 15:30,WWK Arena,FC Augsburg,1. FC Köln,
21,3,15/09/2024 17:30,Mewa Arena,1. FSV Mainz 05,SV Werder Bremen,
31,4,20/09/2024 20:30,WWK Arena,FC Augsburg,1. FSV Mainz 05,
29,4,21/09/2024 15:30,Vonovia Ruhrstadion,VfL Bochum 1848,SV Darmstadt 98,
30,4,21/09/2024 15:30,An der Alten Försterei,1. FC Union Berlin,TSG Hoffenheim,
32,4,21/09/2024 15:30,Weser-Stadion,SV Werder Bremen,FC Bayern München,
33,4,21/09/2024 15:30,Voith-Arena,1. FC Heidenheim 1846,SC Freiburg,
34,4,21/09/2024 18:30,Deutsche Bank Park,Eintracht Frankfurt,Borussia Mönchengladbach,
36,4,22/09/2024 15:30,BayArena,Bayer 04 Leverkusen,VfL Wolfsburg,
35,4,22/09/2024 17:30,MHPArena,VfB Stuttgart,Borussia Dortmund,
28,4,22/09/2024 19:30,Millerntor-Stadion,1. FC Köln,RB Leipzig,
43,5,27/09/2024 20:30,Signal Iduna Park,Borussia Dortmund,VfL Bochum 1848,
38,5,28/09/2024 15:30,Borussia-Park,Borussia Mönchengladbach,1. FC Union Berlin,
39,5,28/09/2024 15:30,Mewa Arena,1. FSV Mainz 05,1. FC Heidenheim 1846,
40,5,28/09/2024 15:30,Volkswagen Arena,VfL Wolfsburg,VfB Stuttgart,
41,5,28/09/2024 15:30,Europa-Park Stadion,SC Freiburg,1. FC Köln,
44,5,28/09/2024 15:30,Red Bull Arena,RB Leipzig,FC Augsburg,
45,5,28/09/2024 18:30,Allianz Arena,FC Bayern München,Bayer 04 Leverkusen,
37,5,29/09/2024 15:30,Holstein-Stadion,SV Darmstadt 98,Eintracht Frankfurt,
42,5,29/09/2024 17:30,PreZero Arena,TSG Hoffenheim,SV Werder Bremen,
46,6,05/10/2024 15:30,Millerntor-Stadion,1. FC Köln,1. FSV Mainz 05,
47,6,05/10/2024 15:30,Vonovia Ruhrstadion,VfL Bochum 1848,VfL Wolfsburg,
48,6,05/10/2024 15:30,An der Alten Försterei,1. FC Union Berlin,Borussia Dortmund,
49,6,05/10/2024 15:30,WWK Arena,FC Augsburg,Borussia Mönchengladbach,
50,6,05/10/2024 15:30,Weser-Stadion,SV Werder Bremen,SC Freiburg,
51,6,05/10/2024 15:30,Voith-Arena,1. FC Heidenheim 1846,RB Leipzig,
52,6,05/10/2024 15:30,Deutsche Bank Park,Eintracht Frankfurt,FC Bayern München,
53,6,05/10/2024 15:30,MHPArena,VfB Stuttgart,TSG Hoffenheim,
54,6,05/10/2024 15:30,BayArena,Bayer 04 Leverkusen,SV Darmstadt 98,
55,7,19/10/2024 15:30,Holstein-Stadion,SV Darmstadt 98,1. FC Union Berlin,
56,7,19/10/2024 15:30,Borussia-Park,Borussia Mönchengladbach,1. FC Heidenheim 1846,
57,7,19/10/2024 15:30,Mewa Arena,1. FSV Mainz 05,RB Leipzig,
58,7,19/10/2024 15:30,Volkswagen Arena,VfL Wolfsburg,SV Werder Bremen,
59,7,19/10/2024 15:30,Europa-Park Stadion,SC Freiburg,FC Augsburg,
60,7,19/10/2024 15:30,PreZero Arena,TSG Hoffenheim,VfL Bochum 1848,
61,7,19/10/2024 15:30,Signal Iduna Park,Borussia Dortmund,1. FC Köln,
62,7,19/10/2024 15:30,Allianz Arena,FC Bayern München,VfB Stuttgart,
63,7,19/10/2024 15:30,BayArena,Bayer 04 Leverkusen,Eintracht Frankfurt,
